cell,ecorr,epit,pH_measured,pH_target,Cl,vol_phosphoricAcid,vol_aceticAcid,vol_boricAcid,vol_sodiumHydroxide,vol_water,data_id,Notes
3,0.08915335685014725,1.3505581617355347,3.38,,,13.72706374822889,13.72706374822889,13.72706374822889,8.818808755313333,10.0,20260313_002,ok
4,0.007747456431388855,1.1839574575424194,6.41,,,11.271351957959707,11.271351957959707,11.271351957959707,16.185944126120877,10.0,20260313_003,ok
5,-0.21365106105804443,0.6745831370353699,12.24,,,6.9206479153265885,6.9206479153265885,6.9206479153265885,29.238056254020233,10.0,20260313_005,ok
8,0.10033521801233292,0.40327972173690796,4.17,,,13.135293951464813,13.135293951464813,13.135293951464813,10.594118145605561,10.0,20260313_006,Epit should be ~1.26
6,0.15818755328655243,1.3285216093063354,3.45,,,13.69392669223223,13.69392669223223,13.69392669223223,8.91821992330331,10.0,20260313_007,ok
6,0.1427396833896637,1.4148154258728027,2.62,,,14.624258095086374,14.624258095086374,14.624258095086374,6.127225714740879,10.0,20260313_008,ok
4,-0.16237635910511017,1.1681761741638184,7.01,,,10.687159895371549,10.687159895371549,10.687159895371549,17.93852031388536,9.999999999999993,20260313_010,ok
4,-0.08880847692489624,1.1969373226165771,6.95,,,10.814018805283308,10.814018805283308,10.814018805283308,17.557943584150077,10.0,20260313_011,ok
3,-0.16506198048591614,1.1464303731918335,6.67,,,10.931764667883566,10.931764667883566,10.931764667883566,17.204705996349297,10.0,20260313_012,ok
6,0.2762557864189148,0.47770750522613525,2.36,,,15.33322665813265,15.33322665813265,15.33322665813265,4.000320025602048,10.0,20260313_013,Epit should be ~1.4
5,-0.23769690096378326,0.5892297625541687,12.39,,,4.956790557155905,4.956790557155905,4.956790557155905,35.129628328532284,10.0,20260313_014,ok
6,-0.14217397570610046,0.5938935875892639,12.35,,,5.217421171944769,5.217421171944769,5.217421171944769,34.347736484165694,10.0,20260313_015,ok,
7,-0.06939981132745743,0.6835371255874634,12.37,,,4.462912791974811,4.462912791974811,4.462912791974811,36.61126162407557,10.0,20260313_016,ok
7,0.39212438464164734,1.0543675422668457,2.58,,,14.658634538152612,14.658634538152612,14.658634538152612,6.024096385542169,10.0,20260313_017,Epit is 1.50
7,0.3299323320388794,1.0476431846618652,2.58,,,14.682539682539684,14.682539682539684,14.682539682539684,5.952380952380952,10.0,20260313_018,Epit is ~1.51
5,0.11929663270711899,0.44460323452949524,2.56,,,14.705882352941178,14.705882352941178,14.705882352941178,5.88235294117647,10.0,20260313_019,Epit should be ~1.45
6,0.12187003344297409,0.32337409257888794,2.55,,,14.728682170542637,14.728682170542637,14.728682170542637,5.813953488372093,10.0,20260313_020,Epit should be ~1.4
4,0.2235654592514038,0.7061293721199036,2.31,,,12.768023472333528,22.301347402369135,12.768023472333528,2.1626056529638076,10.0,20260313_022,Epit should be ~1.4
4,-0.15067432820796967,0.584523618221283,12.36,,,1.3980061386639315,13.973428467320268,1.3980061386639315,33.230559255351864,10.000000000000007,20260313_023,ok
3,-0.0328298844397068,1.2675378322601318,4.78,,,9.889513374672497,17.273579882592088,9.889513374672497,12.947393368062915,10.0,20260313_024,ok
